val_loss,epoch,step,train_loss,test_loss
1.9997926950454712,0,38,,
,0,38,2.3948190212249756,
1.9741289615631104,1,77,,
,1,77,1.9911913871765137,
2.0074756145477295,2,116,,
,2,116,1.9372880458831787,
1.8051193952560425,3,155,,
,3,155,1.925484299659729,
2.166297435760498,4,194,,
,4,194,1.8820312023162842,
1.772225022315979,5,233,,
,5,233,1.8492629528045654,
3.11859393119812,6,272,,
,6,272,1.7938988208770752,
2.9808902740478516,7,311,,
,7,311,1.820373296737671,
1.8717097043991089,8,350,,
,8,350,1.781212329864502,
2.2470428943634033,9,389,,
,9,389,1.7374948263168335,
5.653066635131836,10,428,,
,10,428,1.7045150995254517,
38.63736343383789,11,467,,
,11,467,1.7005157470703125,
6.149590015411377,12,506,,
,12,506,1.6895631551742554,
3.2735776901245117,13,545,,
,13,545,1.6692413091659546,
113.65158081054688,14,584,,
,14,584,1.6893651485443115,
3.683410882949829,15,623,,
,15,623,1.670033574104309,
1.772164225578308,16,662,,
,16,662,1.6856454610824585,
1.9650894403457642,17,701,,
,17,701,1.6502553224563599,
1.9935880899429321,18,740,,
,18,740,1.712239384651184,
1.7025425434112549,19,779,,
,19,779,1.6796754598617554,
1.797580361366272,20,818,,
,20,818,1.6446809768676758,
5.089715957641602,21,857,,
,21,857,1.728306531906128,
129.35220336914062,22,896,,
,22,896,1.6881804466247559,
1.7443896532058716,23,935,,
,23,935,1.6763979196548462,
1.775666356086731,24,974,,
,24,974,1.6369823217391968,
44.02210235595703,25,1013,,
,25,1013,1.5910593271255493,
2.277568817138672,26,1052,,
,26,1052,1.5640501976013184,
1.7768782377243042,27,1091,,
,27,1091,1.533997654914856,
1.7773951292037964,28,1130,,
,28,1130,1.5395714044570923,
1.7259773015975952,29,1169,,
,29,1169,1.5311496257781982,
1.7915658950805664,30,1208,,
,30,1208,1.500808596611023,
2.563849925994873,31,1247,,
,31,1247,1.463407278060913,
1.8828049898147583,32,1286,,
,32,1286,1.5401095151901245,
2203.899658203125,33,1325,,
,33,1325,2.059532642364502,
1134.3282470703125,34,1364,,
,34,1364,2.049365997314453,
564.8187255859375,35,1403,,
,35,1403,1.9846234321594238,
1212.6219482421875,36,1442,,
,36,1442,1.9784799814224243,
8430.7236328125,37,1481,,
,37,1481,1.9762301445007324,
13801.689453125,38,1520,,
,38,1520,1.9186781644821167,
30294.046875,39,1559,,
,39,1559,1.921004056930542,
17999.67578125,40,1598,,
,40,1598,1.929858684539795,
17648.21875,41,1637,,
,41,1637,1.889988899230957,
13631.6748046875,42,1676,,
,42,1676,1.9080382585525513,
26747.4453125,43,1715,,
,43,1715,1.9288557767868042,
4718.12646484375,44,1754,,
,44,1754,1.91179358959198,
508329.6875,45,1793,,
,45,1793,1.8701293468475342,
1.919582486152649,46,1832,,
,46,1832,1.847732424736023,
,47,1833,,1.9556351900100708
