pubchem_id,common_name,iupac_name,smile,inchi,taste,odor,flavor_profile,fema_flavor_profile,fooddb_flavor_profile,bitter,super_sweet,bitterdb_id,flavornet_id,fooddb_id,supersweetdb_id,fema_number,cas_id,functional_groups,bond_stereo_count,undefined_atom_stereocenter_count,heavy_atom_count,hba_count,hbd_count,synthetic,natural,charge,isotope_atom_count,molecular_weight,fenoroli_and_os,exact_mass,volume3d,unknown_natural,covalently_bonded_unit_count,undefined_bond_stereocenter_count,num_rotatablebonds,defined_bond_stereocenter_count,xlogp,topological_polor_surfacearea,defined_atom_stereocenter_count,atom_stereo_count,complexity,monoisotopic_mass,has_odor,one_tag,has_bitter,no_sweet,has_sweet,fruity,green,floral,woody,herbal,only_sweet,sweet_and_something_else
5365587,cis-3-Hexenyl formate,[(Z)-hex-3-enyl] formate,CCC=CCCOC=O,"InChI=1S/C7H12O2/c1-2-3-4-5-6-9-7-8/h3-4,7H,2,5-6H2,1H3/b4-3-",,,"['vegetable', 'sharp', 'waxy', 'fresh', 'sweet', 'grassy', 'green']",Green,vegetable@sharp@waxy@fresh@sweet@grassy@green,0,,,0,FDB019926,,3353,33467-73-1,carboxylic acid derivative@carboxylic acid ester@alkene,1,0,9,2,0,0,1,0,0,128.171,1,128.084,110.0,0,1,0,5,1,1.9,26.3,0,0,86.9,128.084,-1,0,0,0,1,0,1,0,0,0,0,1
5365916,delta-Damascone,"(E)-1-(2,6,6-trimethylcyclohex-3-en-1-yl)but-2-en-1-one",CC=CC(=O)C1C(C=CCC1(C)C)C,"InChI=1S/C13H20O/c1-5-7-11(14)12-10(2)8-6-9-13(12,3)4/h5-8,10,12H,9H2,1-4H3/b7-5+",,,"['tobacco', 'blackcurrant', 'rose', 'cassis', 'sweet', 'fruity', 'natural', 'petal']",Floral,tobacco@blackcurrant@rose@cassis@sweet@fruity@natural@petal,0,,,0,FDB014463,,3622,57378-68-4@71048-82-3,carbonyl compound@ketone@alkene,1,2,14,1,0,0,0,0,0,192.302,1,192.151,165.6,0,1,0,2,1,3.4,17.1,0,2,271.0,192.151,-1,0,0,0,1,1,0,0,0,0,0,1
5365991,Neryl isobutyrate,"[(2Z)-3,7-dimethylocta-2,6-dienyl] 2-methylpropanoate",CC(C)C(=O)OCC=C(C)CCC=C(C)C,"InChI=1S/C14H24O2/c1-11(2)7-6-8-13(5)9-10-16-14(15)12(3)4/h7,9,12H,6,8,10H2,1-5H3/b13-9-",,,"['strawberry', 'fresh', 'sweet', 'fruity', 'raspberry', 'green']",Fruit,strawberry@fresh@sweet@fruity@raspberry@green,0,,,0,FDB017555,,2775,2345-26-8@2345-24-6,carboxylic acid derivative@carboxylic acid ester@alkene,1,0,16,2,0,0,1,0,0,224.344,1,224.178,198.5,0,1,0,7,1,4.5,26.3,0,0,269.0,224.178,-1,0,0,0,1,0,0,0,0,0,0,1
5366074,Damascenone,"(E)-1-(2,6,6-trimethylcyclohexa-1,3-dien-1-yl)but-2-en-1-one",CC=CC(=O)C1=C(C=CCC1(C)C)C,"InChI=1S/C13H18O/c1-5-7-11(14)12-10(2)8-6-9-13(12,3)4/h5-8H,9H2,1-4H3/b7-5+",,,"['apple', 'tobacco', 'rose', 'smoky', 'sweet', 'honey']",Floral,apple@tobacco@rose@smoky@sweet@honey,0,,,1,FDB015480,,3420,23696-85-7@23726-93-4,carbonyl compound@ketone@alkene,1,0,14,1,0,0,1,0,0,190.286,1,190.136,164.9,0,1,0,2,1,3.2,17.1,0,0,327.0,190.136,-1,0,0,0,1,0,0,0,0,0,0,1
5367698,cis-3-Hexenyl phenylacetate,[(Z)-hex-3-enyl] 2-phenylacetate,CCC=CCCOC(=O)CC1=CC=CC=C1,"InChI=1S/C14H18O2/c1-2-3-4-8-11-16-14(15)12-13-9-6-5-7-10-13/h3-7,9-10H,2,8,11-12H2,1H3/b4-3-",,,"['kiwi', 'rose', 'waxy', 'sweet', 'beany', 'honey', 'tropical', 'pea', 'green']",Floral,kiwi@rose@waxy@sweet@beany@honey@tropical@pea@green,0,,,0,FDB017579,,3633,42436-07-7,carboxylic acid derivative@carboxylic acid ester@alkene@aromatic compound,1,0,16,2,0,0,1,0,0,218.296,1,218.131,186.4,0,1,0,7,1,3.7,26.3,0,0,215.0,218.131,-1,0,0,0,1,0,1,0,0,0,0,1
5367785,Geranyl tiglate,"[(2E)-3,7-dimethylocta-2,6-dienyl] (E)-2-methylbut-2-enoate",CC=C(C)C(=O)OCC=C(C)CCC=C(C)C,"InChI=1S/C15H24O2/c1-6-14(5)15(16)17-11-10-13(4)9-7-8-12(2)3/h6,8,10H,7,9,11H2,1-5H3/b13-10+,14-6+",,,"['geranium', 'sweet', 'herbal', 'fruity']",Floral,geranium@sweet@herbal@fruity,0,,,0,FDB009483,,4044,8000-46-2@61827-81-4@7785-33-3,carboxylic acid derivative@carboxylic acid ester@alkene,2,0,17,2,0,0,1,0,0,236.355,1,236.178,208.0,0,1,0,7,2,4.7,26.3,0,0,329.0,236.178,-1,0,0,0,1,0,0,0,0,0,0,1
5367807,Angelic Acid Isobutyl Ester,2-methylpropyl (Z)-2-methylbut-2-enoate,CC=C(C)C(=O)OCC(C)C,"InChI=1S/C9H16O2/c1-5-8(4)9(10)11-6-7(2)3/h5,7H,6H2,1-4H3/b8-5-",,,"['cooling', 'herbal', 'caraway', 'woody', 'sweet', 'celery', 'spicy', 'green']",Floral,cooling@herbal@caraway@woody@sweet@celery@spicy@green,0,,,0,FDB016743,,2180,7779-81-9,carboxylic acid derivative@carboxylic acid ester@alkene,1,0,11,2,0,0,1,0,0,156.225,1,156.115,135.5,0,1,0,4,1,2.9,26.3,0,0,157.0,156.115,-1,0,0,0,1,0,0,0,0,0,0,1
5370602,5-Methyl-2-phenyl-2-hexenal,(E)-5-methyl-2-phenylhex-2-enal,CC(C)CC=C(C=O)C1=CC=CC=C1,"InChI=1S/C13H16O/c1-11(2)8-9-13(10-14)12-6-4-3-5-7-12/h3-7,9-11H,8H2,1-2H3/b13-9-",,,"['chocolate', 'bitter', 'butyric', 'cocoa', 'sweet', 'fruity', 'aldehydic', 'nut skin', 'green']",Cocoa,chocolate@bitter@butyric@cocoa@sweet@fruity@aldehydic@nut skin@green,0,,,0,FDB008539,,3199,21834-92-4@188829-73-4,carbonyl compound@aldehyde@alkene@aromatic compound,1,0,14,1,0,0,1,0,0,188.27,1,188.12,164.7,0,1,0,4,1,3.4,17.1,0,0,197.0,188.12,-1,0,0,0,1,0,0,0,0,0,0,1
5371084,"Ionone, methyl-","(E)-1-(2,6,6-trimethylcyclohex-2-en-1-yl)pent-1-en-3-one",CCC(=O)C=CC1C(=CCCC1(C)C)C,"InChI=1S/C14H22O/c1-5-12(15)8-9-13-11(2)7-6-10-14(13,3)4/h7-9,13H,5-6,10H2,1-4H3/b9-8+",,,"['powdery', 'floral', 'sweet', 'woody', 'fruity', 'orris', 'violet']",Fruit,powdery@floral@sweet@woody@fruity@orris@violet,0,,,0,FDB013905,,2711,127-42-4@7779-30-8@93302-56-8@1335-46-2,carbonyl compound@ketone@alkene,1,1,15,1,0,0,0,0,0,206.329,1,206.167,179.6,0,1,0,3,1,3.4,17.1,0,1,295.0,206.167,-1,0,0,0,1,0,0,0,0,0,0,1
5372353,cis-3-Hexenyl anthranilate,[(Z)-hex-3-enyl] 2-aminobenzoate,CCC=CCCOC(=O)C1=CC=CC=C1N,"InChI=1S/C13H17NO2/c1-2-3-4-7-10-16-13(15)11-8-5-6-9-12(11)14/h3-6,8-9H,2,7,10,14H2,1H3/b4-3-",,,"['concord grape', 'jasmin', 'sweet', 'orange flower', 'fruity', 'green']",Fruit,concord grape@jasmin@sweet@orange flower@fruity@green,0,,,0,FDB016822,,3925,65405-76-7,amine@primary amine@primary aromatic amine@carboxylic acid derivative@carboxylic acid ester@alkene@aromatic compound,1,0,16,3,1,0,0,0,0,219.284,1,219.126,181.4,0,1,0,6,1,4.0,52.3,0,0,238.0,219.126,-1,0,0,0,1,0,0,0,0,0,0,1
